namespace,type,field,field_type,path
Il2Cpplibsdf_H,sdfFileCmdHandle_t,next,sdfFileCmdHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,prev,sdfFileCmdHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,deviceNext,sdfFileCmdHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,devicePrev,sdfFileCmdHandle_t,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,filename,Il2CppStructArray<char>,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,device,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,cmd,byte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,stat,sbyte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,phase,sbyte,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,offset,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
Il2Cpplibsdf_H,sdfFileCmdHandle_t,length,short,SMT3HD_Reimagined/tools/references/Assembly-CSharp/Assembly-CSharp/Il2Cpplibsdf_H/sdfFileCmdHandle_t.cs
